3543 東証1部 (株)コメダホールディングス（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2115","2182","2109","2150","305900","2150"
"2019-01-07","2195","2209","2158","2209","180000","2209"
"2019-01-08","2211","2211","2169","2180","221900","2180"
"2019-01-09","2191","2206","2175","2190","237000","2190"
"2019-01-10","2123","2136","2090","2098","710900","2098"
"2019-01-11","2114","2116","2015","2022","896100","2022"
"2019-01-15","2020","2053","2010","2033","582800","2033"
"2019-01-16","2040","2065","2034","2043","442700","2043"
"2019-01-17","2075","2077","2036","2049","521100","2049"
"2019-01-18","2052","2054","2033","2045","355000","2045"
"2019-01-21","2060","2064","2039","2057","249800","2057"
"2019-01-22","2067","2080","2060","2067","231800","2067"
"2019-01-23","2058","2075","2046","2066","227700","2066"
"2019-01-24","2063","2067","2040","2046","276800","2046"
"2019-01-25","2054","2087","2050","2077","276400","2077"
"2019-01-28","2099","2108","2061","2063","224300","2063"
"2019-01-29","2070","2105","2059","2100","282800","2100"
"2019-01-30","2105","2107","2089","2091","190900","2091"
"2019-01-31","2097","2112","2078","2080","245200","2080"
"2019-02-01","2082","2087","2061","2062","244200","2062"
"2019-02-04","2081","2100","2072","2100","214000","2100"